,幣別,即期買入,即期賣出,現鈔買入,現鈔賣出,銀行
9,加拿大幣 (CAD),22.59,22.89,22.26,23.15,合作金庫
10,瑞士法郎 (CHF),30.54,30.88,0,0,合作金庫
11,紐西蘭幣 (NZD),19.53,19.83,0,0,合作金庫
12,南非幣 (ZAR),1.9514,2.0814,0,0,合作金庫
13,瑞典幣 (SEK),3.2434,3.3934,0,0,合作金庫
0,美金 (USD),27.555,27.655,27.301,27.863,第一銀行
1,日圓 (JPY),0.2503,0.2543,0.2481,0.2559,第一銀行
2,港幣 (HKD),3.528,3.588,3.468,3.606,第一銀行
3,歐元 (EUR),33.43,33.83,33.027,34.133,第一銀行
4,人民幣 (CNY),4.2989999999999995,4.349,4.204,4.379,第一銀行
5,英鎊 (GBP),38.911,39.311,38.061,39.911,第一銀行
6,新加坡幣 (SGD),20.78,20.98,0,0,第一銀行
7,澳幣 (AUD),21.340999999999998,21.541,21.131,21.756,第一銀行
8,泰幣 (THB),0.8732,0.9132,0,0,第一銀行
9,加拿大幣 (CAD),22.741999999999997,22.941999999999997,22.472,23.212,第一銀行
10,瑞士法郎 (CHF),30.738000000000003,30.998,0,0,第一銀行
11,紐西蘭幣 (NZD),19.791,19.991,0,0,第一銀行
12,南非幣 (ZAR),1.989,2.089,0,0,第一銀行
13,瑞典幣 (SEK),3.298,3.398,0,0,第一銀行
14,土耳其里拉 (TRY),3.113,3.553,0,0,第一銀行
0,美金 (USD),27.5715,27.6715,27.4165,27.8265,台北富邦銀行
1,日圓 (JPY),0.2507,0.2543,0.248,0.257,台北富邦銀行
2,港幣 (HKD),3.5326,3.5866,3.498,3.6212,台北富邦銀行
3,歐元 (EUR),33.4499,33.8499,33.0844,34.2154,台北富邦銀行
4,人民幣 (CNY),4.3009,4.3509,4.1659,4.3809,台北富邦銀行
5,英鎊 (GBP),38.8983,39.3783,0,0,台北富邦銀行
6,新加坡幣 (SGD),20.7714,21.0114,0,0,台北富邦銀行
7,澳幣 (AUD),21.3023,21.6023,0,0,台北富邦銀行
8,泰幣 (THB),0.8697,0.9097,0,0,台北富邦銀行
9,加拿大幣 (CAD),22.7022,23.0022,0,0,台北富邦銀行
10,瑞士法郎 (CHF),30.7262,31.0462,0,0,台北富邦銀行
11,紐西蘭幣 (NZD),19.7508,20.0408,0,0,台北富邦銀行
12,南非幣 (ZAR),1.9842,2.0942,0,0,台北富邦銀行
13,瑞典幣 (SEK),3.3197,3.3797,0,0,台北富邦銀行
0,美金 (USD),27.57,27.67,27.32,27.92,華南銀行
1,日圓 (JPY),0.2505,0.2543,0.2481,0.2567,華南銀行
2,港幣 (HKD),3.531,3.587,3.449,3.617,華南銀行
3,歐元 (EUR),33.459,33.819,33.139,34.139,華南銀行
4,人民幣 (CNY),4.303,4.347,4.205,4.391,華南銀行
5,英鎊 (GBP),38.918,39.318,38.048,39.934,華南銀行
6,新加坡幣 (SGD),20.801,20.981,0,0,華南銀行
7,澳幣 (AUD),21.342,21.542,21.106,21.786,華南銀行
8,泰幣 (THB),0.8707,0.9101,0,0,華南銀行
9,加拿大幣 (CAD),22.76,22.94,22.47,23.23,華南銀行
10,瑞士法郎 (CHF),30.761,30.961,0,0,華南銀行
11,紐西蘭幣 (NZD),19.795,19.995,0,0,華南銀行
12,南非幣 (ZAR),2.0,2.08,0,0,華南銀行
13,瑞典幣 (SEK),3.308,3.388,0,0,華南銀行
14,韓幣 (KRW),0,0,0.023,0.0271,華南銀行
0,美金 (USD),27.56,27.68,27.28,27.9,國泰世華銀行
1,日圓 (JPY),0.2493,0.2543,0.2453,0.2563,國泰世華銀行
2,港幣 (HKD),3.5189999999999997,3.5989999999999998,3.439,3.639,國泰世華銀行
3,歐元 (EUR),33.24,33.74,32.81,34.09,國泰世華銀行
4,人民幣 (CNY),4.276,4.351,4.176,4.371,國泰世華銀行
5,英鎊 (GBP),38.7,39.32,0,0,國泰世華銀行
6,新加坡幣 (SGD),20.64,21.04,0,0,國泰世華銀行
7,澳幣 (AUD),21.16,21.46,0,0,國泰世華銀行
8,泰幣 (THB),0.8590000000000001,0.919,0,0,國泰世華銀行
9,加拿大幣 (CAD),22.58,22.98,0,0,國泰世華銀行
10,瑞士法郎 (CHF),30.51,31.03,0,0,國泰世華銀行
11,紐西蘭幣 (NZD),19.56,19.92,0,0,國泰世華銀行
12,南非幣 (ZAR),1.9609999999999999,2.081,0,0,國泰世華銀行
13,瑞典幣 (SEK),3.245,3.405,0,0,國泰世華銀行
14,土耳其里拉 (TRY),2.927,3.647,0,0,國泰世華銀行
15,丹麥克朗 (DKK),4.42,4.58,0,0,國泰世華銀行
0,美金 (USD),27.552,27.651999999999997,27.302,27.872,彰化銀行
1,日圓 (JPY),0.2501,0.2541,0.2476,0.2556,彰化銀行
2,港幣 (HKD),3.532,3.582,3.447,3.607,彰化銀行
3,歐元 (EUR),33.426,33.826,33.026,34.126,彰化銀行
4,人民幣 (CNY),4.3015,4.3455,4.2235,4.4235,彰化銀行
5,英鎊 (GBP),38.908,39.308,0,0,彰化銀行
6,新加坡幣 (SGD),20.779,20.979,0,0,彰化銀行
7,澳幣 (AUD),21.339000000000002,21.539,0,0,彰化銀行
8,泰幣 (THB),0.8748,0.9148,0,0,彰化銀行
9,加拿大幣 (CAD),22.736,22.936,0,0,彰化銀行
10,瑞士法郎 (CHF),30.726999999999997,30.987,0,0,彰化銀行
11,紐西蘭幣 (NZD),19.784000000000002,19.984,0,0,彰化銀行
12,南非幣 (ZAR),1.989,2.089,0,0,彰化銀行
13,瑞典幣 (SEK),3.2969999999999997,3.397,0,0,彰化銀行
0,美金 (USD),27.57,27.67,27.37,27.87,玉山銀行
1,日圓 (JPY),0.2496,0.2536,0.2486,0.2556,玉山銀行
2,港幣 (HKD),3.529,3.589,3.499,3.619,玉山銀行
3,歐元 (EUR),33.25,33.65,32.95,33.95,玉山銀行
4,人民幣 (CNY),4.293,4.343,4.228,4.378,玉山銀行
5,英鎊 (GBP),38.81,39.21,38.51,39.51,玉山銀行
6,新加坡幣 (SGD),20.74,20.9,0,0,玉山銀行
7,澳幣 (AUD),21.17,21.37,20.87,21.67,玉山銀行
8,泰幣 (THB),0.8690000000000001,0.909,0,0,玉山銀行
9,加拿大幣 (CAD),22.66,22.84,22.35,23.15,玉山銀行
10,瑞士法郎 (CHF),30.62,30.82,0,0,玉山銀行
11,紐西蘭幣 (NZD),19.57,19.81,0,0,玉山銀行
12,南非幣 (ZAR),1.9680000000000002,2.068,0,0,玉山銀行
13,瑞典幣 (SEK),3.29,3.35,0,0,玉山銀行
14,墨西哥比索 (MXN),1.35,1.43,0,0,玉山銀行
0,美金 (USD),27.56,27.66,27.369,27.846,台新銀行
1,日圓 (JPY),0.2498,0.2533,0.2475,0.2555,台新銀行
2,港幣 (HKD),3.5323,3.5823,3.4873,3.6273,台新銀行
3,歐元 (EUR),33.23,33.58,32.897,33.913,台新銀行
4,人民幣 (CNY),4.2926,4.3326,4.2226,4.3526,台新銀行
5,英鎊 (GBP),38.758,39.158,0,0,台新銀行
6,新加坡幣 (SGD),20.704,20.924,20.384,21.044,台新銀行
7,澳幣 (AUD),21.151999999999997,21.372,20.87,21.654,台新銀行
8,泰幣 (THB),0.8667,0.9067,0,0,台新銀行
9,加拿大幣 (CAD),22.596999999999998,22.837,22.307,23.127,台新銀行
10,瑞士法郎 (CHF),30.545,30.885,0,0,台新銀行
11,紐西蘭幣 (NZD),19.594,19.834,19.389,20.034,台新銀行
12,南非幣 (ZAR),1.9709,2.0509,0,0,台新銀行
13,瑞典幣 (SEK),3.2844,3.3444,0,0,台新銀行
0,美金 (USD),27.555,27.665,27.355,27.865,永豐銀行
1,日圓 (JPY),0.2504,0.254,0.2474,0.2555,永豐銀行
2,港幣 (HKD),3.5328,3.5838,3.4928,3.6238,永豐銀行
3,歐元 (EUR),33.448,33.804,33.098,34.154,永豐銀行
4,人民幣 (CNY),4.2958,4.349,4.2358,4.369,永豐銀行
5,英鎊 (GBP),38.902,39.308,0,0,永豐銀行
6,新加坡幣 (SGD),20.774,20.986,0,0,永豐銀行
7,澳幣 (AUD),21.335,21.565,0,0,永豐銀行
8,泰幣 (THB),0.8706,0.9094,0,0,永豐銀行
9,加拿大幣 (CAD),22.729,22.954,0,0,永豐銀行
10,瑞士法郎 (CHF),30.763,30.991,0,0,永豐銀行
11,紐西蘭幣 (NZD),19.778,19.997,0,0,永豐銀行
12,南非幣 (ZAR),1.985,2.096,0,0,永豐銀行
13,瑞典幣 (SEK),3.3132,3.3839,0,0,永豐銀行
14,澳門幣 (MOP),3.3934,3.5177,0,0,永豐銀行
0,美金 (USD),27.56,27.66,27.36,27.86,上海商業銀行
1,日圓 (JPY),0.2502,0.2542,0.2482,0.2562,上海商業銀行
2,港幣 (HKD),3.529,3.5869999999999997,3.449,3.597,上海商業銀行
3,歐元 (EUR),33.42,33.82,33.02,34.22,上海商業銀行
4,人民幣 (CNY),4.294,4.354,4.214,4.414,上海商業銀行
5,英鎊 (GBP),38.91,39.31,0,0,上海商業銀行
6,新加坡幣 (SGD),20.77,21.0,0,0,上海商業銀行
7,澳幣 (AUD),21.36,21.54,0,0,上海商業銀行
8,泰幣 (THB),0.82,0.96,0,0,上海商業銀行
9,加拿大幣 (CAD),22.75,22.96,0,0,上海商業銀行
10,瑞士法郎 (CHF),30.75,31.0,0,0,上海商業銀行
11,紐西蘭幣 (NZD),19.79,19.99,0,0,上海商業銀行
12,南非幣 (ZAR),1.99,2.08,0,0,上海商業銀行
13,瑞典幣 (SEK),3.3,3.4,0,0,上海商業銀行
14,韓幣 (KRW),0.0235,0.0262,0,0,上海商業銀行
15,丹麥克朗 (DKK),4.47,4.58,0,0,上海商業銀行
0,美金 (USD),27.570999999999998,27.671,27.371,27.821,凱基銀行
1,日圓 (JPY),0.2503,0.2543,0.2488,0.2558,凱基銀行
2,港幣 (HKD),3.529,3.589,3.494,3.624,凱基銀行
3,歐元 (EUR),33.36,33.76,33.03,34.09,凱基銀行
4,英鎊 (GBP),38.912,39.312,0,0,凱基銀行
5,新加坡幣 (SGD),20.77,20.97,0,0,凱基銀行
6,澳幣 (AUD),21.3,21.52,0,0,凱基銀行
7,泰幣 (THB),0.8690000000000001,0.909,0,0,凱基銀行
8,加拿大幣 (CAD),22.719,22.939,0,0,凱基銀行
9,瑞士法郎 (CHF),30.686,30.945999999999998,0,0,凱基銀行
10,紐西蘭幣 (NZD),19.724,19.944000000000003,0,0,凱基銀行
11,南非幣 (ZAR),1.986,2.086,0,0,凱基銀行
12,瑞典幣 (SEK),3.286,3.386,0,0,凱基銀行
0,美金 (USD),27.545,27.680999999999997,27.325,27.901,元大銀行
1,日圓 (JPY),0.2501,0.2544,0.2466,0.2574,元大銀行
2,港幣 (HKD),3.528,3.589,3.479,3.629,元大銀行
3,歐元 (EUR),33.32,33.77,32.94,34.15,元大銀行
4,人民幣 (CNY),4.294,4.35,4.194,4.395,元大銀行
5,英鎊 (GBP),38.83,39.37,0,0,元大銀行
6,新加坡幣 (SGD),20.74,20.98,0,0,元大銀行
7,澳幣 (AUD),21.25,21.56,0,0,元大銀行
8,泰幣 (THB),0.8623,0.9152,0,0,元大銀行
9,加拿大幣 (CAD),22.68,22.97,0,0,元大銀行
10,瑞士法郎 (CHF),30.62,30.99,0,0,元大銀行
11,紐西蘭幣 (NZD),19.68,19.98,0,0,元大銀行
12,南非幣 (ZAR),1.9763,2.1182,0,0,元大銀行
13,瑞典幣 (SEK),3.28,3.39,0,0,元大銀行
0,美金 (USD),27.553,27.653000000000002,27.353,27.853,台中銀行
1,日圓 (JPY),0.2502,0.2542,0.2472,0.2562,台中銀行
2,港幣 (HKD),3.53,3.5860000000000003,3.448,3.62,台中銀行
3,歐元 (EUR),33.42,33.82,32.97,34.12,台中銀行
4,人民幣 (CNY),4.2989999999999995,4.349,4.224,4.389,台中銀行
5,英鎊 (GBP),38.91,39.31,0,0,台中銀行
6,新加坡幣 (SGD),20.78,20.98,0,0,台中銀行
7,澳幣 (AUD),21.35,21.55,21.05,21.85,台中銀行
8,加拿大幣 (CAD),22.74,22.94,22.44,23.24,台中銀行
9,瑞士法郎 (CHF),30.78,30.98,0,0,台中銀行
10,紐西蘭幣 (NZD),19.8,20.0,0,0,台中銀行
11,南非幣 (ZAR),1.984,2.094,0,0,台中銀行
12,瑞典幣 (SEK),3.298,3.398,0,0,台中銀行
0,美金 (USD),27.548000000000002,27.668000000000003,27.378,27.838,聯邦銀行
1,日圓 (JPY),0.249,0.254,0.2475,0.2555,聯邦銀行
2,港幣 (HKD),3.52,3.6,3.5,3.62,聯邦銀行
3,歐元 (EUR),33.18,33.68,32.9,33.96,聯邦銀行
4,人民幣 (CNY),4.29,4.35,4.18,4.39,聯邦銀行
5,英鎊 (GBP),38.69,39.29,0,0,聯邦銀行
6,新加坡幣 (SGD),20.67,20.97,0,0,聯邦銀行
7,澳幣 (AUD),21.11,21.41,0,0,聯邦銀行
8,加拿大幣 (CAD),22.59,22.89,0,0,聯邦銀行
9,瑞士法郎 (CHF),30.55,30.85,0,0,聯邦銀行
10,紐西蘭幣 (NZD),19.52,19.82,0,0,聯邦銀行
11,南非幣 (ZAR),1.95,2.09,0,0,聯邦銀行
0,美金 (USD),27.552,27.651999999999997,27.182,27.872,京城銀行
1,日圓 (JPY),0.2502,0.2542,0.2479,0.257,京城銀行
2,港幣 (HKD),3.5272,3.5872,0,0,京城銀行
3,歐元 (EUR),33.4165,33.8165,0,0,京城銀行
4,人民幣 (CNY),4.2981,4.3481,4.2231,4.4231,京城銀行
5,英鎊 (GBP),38.8955,39.2955,0,0,京城銀行
6,新加坡幣 (SGD),20.789,20.969,0,0,京城銀行
7,澳幣 (AUD),21.344,21.544,0,0,京城銀行
8,泰幣 (THB),0.8695,0.9095,0,0,京城銀行
9,加拿大幣 (CAD),22.7537,22.9337,0,0,京城銀行
10,南非幣 (ZAR),1.9894,2.0894,0,0,京城銀行
0,美金 (USD),27.557,27.685,27.421,27.821,王道銀行
1,日圓 (JPY),0.25,0.2532,0.2474,0.2544,王道銀行
2,港幣 (HKD),3.5422,3.5758,0,0,王道銀行
3,歐元 (EUR),33.294000000000004,33.534,32.964,33.864,王道銀行
4,人民幣 (CNY),4.303999999999999,4.336,4.215,4.4,王道銀行
5,英鎊 (GBP),38.897,39.056999999999995,0,0,王道銀行
6,澳幣 (AUD),21.194000000000003,21.338,0,0,王道銀行
7,加拿大幣 (CAD),22.614,22.805999999999997,0,0,王道銀行
8,瑞士法郎 (CHF),30.590999999999998,30.910999999999998,0,0,王道銀行
9,紐西蘭幣 (NZD),19.645,19.797,0,0,王道銀行
10,南非幣 (ZAR),1.964,2.06,0,0,王道銀行
11,瑞典幣 (SEK),3.2960000000000003,3.344,0,0,王道銀行
0,美金 (USD),27.552,27.651999999999997,27.302,27.872,陽信銀行
1,日圓 (JPY),0.2505,0.2545,0.245,0.256,陽信銀行
2,港幣 (HKD),3.5269999999999997,3.5869999999999997,3.45,3.63,陽信銀行
3,歐元 (EUR),33.43,33.83,33.03,34.14,陽信銀行
4,人民幣 (CNY),4.289,4.359,4.204,4.444,陽信銀行
5,英鎊 (GBP),38.9,39.3,0,0,陽信銀行
6,新加坡幣 (SGD),20.77,20.97,0,0,陽信銀行
7,澳幣 (AUD),21.36,21.56,0,0,陽信銀行
8,泰幣 (THB),0.8395,0.9395,0,0,陽信銀行
9,加拿大幣 (CAD),22.76,22.96,0,0,陽信銀行
10,瑞士法郎 (CHF),30.77,30.97,0,0,陽信銀行
11,紐西蘭幣 (NZD),19.78,20.0,0,0,陽信銀行
12,南非幣 (ZAR),1.99,2.09,0,0,陽信銀行
0,美金 (USD),27.55,27.655,27.2,28.005,三信商銀
1,日圓 (JPY),0.2501,0.2543,0.2431,0.2573,三信商銀
2,港幣 (HKD),3.5260000000000002,3.588,3.406,3.708,三信商銀
3,歐元 (EUR),33.4,33.83,32.8,34.43,三信商銀
4,人民幣 (CNY),4.296,4.348,4.221,4.423,三信商銀
5,英鎊 (GBP),38.87,39.3,0,0,三信商銀
6,澳幣 (AUD),21.33,21.55,0,0,三信商銀
7,加拿大幣 (CAD),22.72,22.94,0,0,三信商銀
8,瑞士法郎 (CHF),30.72,31.01,0,0,三信商銀
9,紐西蘭幣 (NZD),19.77,19.99,0,0,三信商銀
10,南非幣 (ZAR),1.976,2.099,0,0,三信商銀
0,美金 (USD),27.576,27.676,27.376,27.876,瑞興銀行
1,日圓 (JPY),0.2497,0.2547,0.2477,0.2567,瑞興銀行
2,港幣 (HKD),3.5304,3.5904,3.5004,3.6204,瑞興銀行
3,歐元 (EUR),33.4153,33.8153,33.1653,34.0653,瑞興銀行
4,人民幣 (CNY),4.301,4.351,4.226,4.426,瑞興銀行
5,英鎊 (GBP),38.9101,39.3101,0,0,瑞興銀行
6,澳幣 (AUD),21.3233,21.5633,0,0,瑞興銀行
7,紐西蘭幣 (NZD),19.768,20.008,0,0,瑞興銀行
0,美金 (USD),27.552,27.651999999999997,27.302,27.902,匯豐銀行
1,日圓 (JPY),0.250668,0.253922,0.246668,0.257922,匯豐銀行
2,港幣 (HKD),3.5324699999999996,3.5817900000000003,3.43247,3.68179,匯豐銀行
3,歐元 (EUR),33.45177,33.817209999999996,33.15177,34.11721,匯豐銀行
4,人民幣 (CNY),4.29868,4.34227,4.19868,4.44227,匯豐銀行
5,英鎊 (GBP),38.92606,39.305890000000005,38.27606,39.95589,匯豐銀行
6,新加坡幣 (SGD),20.7868,20.97585,0,0,匯豐銀行
7,澳幣 (AUD),21.32669,21.57745,21.12669,21.77745,匯豐銀行
8,加拿大幣 (CAD),22.74302,22.93894,0,0,匯豐銀行
9,瑞士法郎 (CHF),30.682309999999998,31.08837,0,0,匯豐銀行
10,紐西蘭幣 (NZD),19.76874,20.02577,0,0,匯豐銀行
11,南非幣 (ZAR),2.02255,2.05675,0,0,匯豐銀行
12,瑞典幣 (SEK),3.3234800000000004,3.37376,0,0,匯豐銀行
0,美金 (USD),27.566999999999997,27.675,27.367,27.875,渣打銀行
1,日圓 (JPY),0.25,0.2542,0.2485,0.2557,渣打銀行
2,港幣 (HKD),3.529,3.591,3.489,3.631,渣打銀行
3,歐元 (EUR),33.415,33.791,33.115,34.091,渣打銀行
4,人民幣 (CNY),4.303,4.345,4.223,4.425,渣打銀行
5,英鎊 (GBP),38.891999999999996,39.308,38.242,39.958,渣打銀行
6,新加坡幣 (SGD),20.775,20.985,20.555,21.205,渣打銀行
7,澳幣 (AUD),21.291,21.581,0,0,渣打銀行
8,加拿大幣 (CAD),22.703000000000003,22.973000000000003,0,0,渣打銀行
9,瑞士法郎 (CHF),30.704,30.976,0,0,渣打銀行
10,紐西蘭幣 (NZD),19.736,20.026,0,0,渣打銀行
11,南非幣 (ZAR),1.9935,2.0785,0,0,渣打銀行
12,瑞典幣 (SEK),3.293,3.391,0,0,渣打銀行
0,美金 (USD),27.525,27.715999999999998,27.325,27.916,星展銀行
1,日圓 (JPY),0.2496,0.2536,0.248,0.2552,星展銀行
2,港幣 (HKD),3.522,3.595,3.502,3.615,星展銀行
3,歐元 (EUR),33.17,33.67,32.79,34.05,星展銀行
4,人民幣 (CNY),4.2847,4.3485,4.2149,4.4183,星展銀行
5,英鎊 (GBP),38.71,39.25,0,0,星展銀行
6,新加坡幣 (SGD),20.706,20.948,20.586,21.068,星展銀行
7,澳幣 (AUD),21.11,21.44,0,0,星展銀行
8,泰幣 (THB),0.8740000000000001,0.9,0,0,星展銀行
9,加拿大幣 (CAD),22.58,22.89,0,0,星展銀行
10,瑞士法郎 (CHF),30.57,30.88,0,0,星展銀行
11,紐西蘭幣 (NZD),19.55,19.9,0,0,星展銀行
12,瑞典幣 (SEK),3.27,3.3634,0,0,星展銀行
0,美金 (USD),27.61,27.77,27.304,27.981,中國信託銀行
1,日圓 (JPY),0.2502,0.2554,0.2465,0.2572,中國信託銀行
2,港幣 (HKD),3.529,3.608,3.445,3.648,中國信託銀行
3,歐元 (EUR),33.433,33.958,32.971,34.279,中國信託銀行
4,人民幣 (CNY),4.3037,4.3658,4.1597,4.4028,中國信託銀行
5,英鎊 (GBP),38.71,39.34,37.85,39.95,中國信託銀行
6,新加坡幣 (SGD),20.703000000000003,21.076999999999998,0,0,中國信託銀行
7,澳幣 (AUD),21.281999999999996,21.593000000000004,20.99,21.87,中國信託銀行
8,泰幣 (THB),0.858,0.917,0,0,中國信託銀行
9,加拿大幣 (CAD),22.680999999999997,23.066,0,0,中國信託銀行
10,瑞士法郎 (CHF),30.643,31.169,0,0,中國信託銀行
11,紐西蘭幣 (NZD),19.711,20.090999999999998,0,0,中國信託銀行
12,南非幣 (ZAR),1.97,2.092,0,0,中國信託銀行
13,瑞典幣 (SEK),3.281,3.41,0,0,中國信託銀行
14,馬來幣 (MYR),6.39,7.05,0,0,中國信託銀行
15,印尼幣 (IDR),0.0017100000000000001,0.00218,0,0,中國信託銀行
16,韓幣 (KRW),0.0221,0.0275,0,0,中國信託銀行
17,越南幣 (VND),0.001,0.0015,0,0,中國信託銀行
